Date, Open, High, Low, Close, Volume
2014-02-24,101,103,101,101,523
2014-02-25,99.9,102.9,98.6,99.9,2119
2014-02-26,102.4,102.4,98.5,102.4,529
2014-02-28,103.8,105,101,103.8,2535
2014-03-03,101.1,104.8,101,101.1,109
2014-03-04,99.9,105,99,99.9,4210
2014-03-05,100.1,103.9,99.9,100.1,517
2014-03-07,99.9,100.3,99.9,99.9,2922
2014-03-10,100.2,103.7,99.1,100.2,3509
2014-03-11,99.1,103.4,99.1,99.1,272
2014-03-12,102.4,102.4,102.4,102.4,1
2014-03-13,99,99,99,99,100
2014-03-14,99.4,100,98,99.4,260
2014-03-17,100,102.2,98,100,254
2014-03-18,98.2,102,98,98.2,254
2014-03-19,101,101.9,98.1,101,93
2014-03-20,100.2,101.8,98.3,100.2,49
2014-03-21,100,102,98.8,100,2141
2014-03-24,100.2,103.2,99.3,100.2,6
2014-03-25,99.2,102.8,99,99.2,998
2014-03-26,99.8,102.8,99,99.8,36
2014-03-27,99.2,99.2,99.2,99.2,1
2014-03-28,100,102.8,99.2,100,1302
2014-03-31,99.2,102.8,99.1,99.2,344
2014-04-01,100,100,99.1,100,784
2014-04-02,99.9,100,99.9,99.9,159
2014-04-03,99.7,101.8,99,99.7,1501
2014-04-04,98.9,100,98.8,98.9,4133
2014-04-07,100,101.9,100,100,192
2014-04-08,99.9,100,99,99.9,917
2014-04-09,101.1,102,100,101.1,1800
2014-04-10,100,100,99.7,100,1300
2014-04-11,101,102.6,100,101,201
2014-04-16,99.7,99.8,99.7,99.7,3300
2014-04-17,105.1,109.3,99.8,105.1,3552
2014-04-21,104,109.4,100.1,104,1544
2014-04-22,101,110,100.8,101,32
2014-04-23,101.2,107.5,101,101.2,611
2014-04-24,101.2,106.6,101.2,101.2,122
2014-04-25,104.1,106.4,101.4,104.1,269
2014-04-28,101.6,105.9,101,101.6,7010
2014-04-29,101,103.9,101,101,3722
2014-04-30,101.1,104,101,101.1,5507
2014-05-02,103.9,104.2,100.8,103.9,23
2014-05-06,101.1,103.8,101.1,101.1,335
2014-05-07,101.3,101.3,101.3,101.3,240
2014-05-08,103,103,103,103,241
2014-05-09,103.4,103.7,101.1,103.4,344
2014-05-12,100.8,101.2,100.7,100.8,2504
2014-05-13,103.4,103.4,103.4,103.4,1
2014-05-16,101.2,103.4,101.1,101.2,450
2014-05-19,101.1,103.3,101.1,101.1,3278
2014-05-20,100.7,102,100.6,100.7,534
2014-05-21,101,101,100.6,101,1382
2014-05-22,100.1,101,100.1,100.1,1665
2014-05-23,100,104,99.2,100,2157
2014-05-26,100,101,99.6,100,1500
2014-05-27,100,100,99.6,100,999
2014-05-28,101,101,99.7,101,102
2014-05-29,100,101,100,100,250
2014-05-30,101.7,105.7,100,101.7,729
2014-06-02,99.8,103.6,99.7,99.8,3755
2014-06-03,104,104,103.9,104,3
2014-06-04,103.6,103.9,103.6,103.6,751
2014-06-05,101.5,103,99.9,101.5,7
2014-06-06,103.7,103.8,100,103.7,1001
2014-06-10,100,100,100,100,200
2014-06-11,101.6,102,100,101.6,3810
2014-06-13,101,102,101,101,300
2014-06-16,103.8,103.8,100.2,103.8,1806
2014-06-17,102,102,102,102,200
2014-06-18,101,102,101,101,1055
2014-06-19,103.9,104,101,103.9,4505
2014-06-20,102,104,102,102,532
2014-06-24,102,102,102,102,10
2014-06-25,103,103,101.5,103,101
2014-06-26,102,103,101.4,102,1520
2014-06-27,101.6,101.6,101.5,101.6,760
2014-06-30,101.7,101.8,101.6,101.7,200
2014-07-01,103,103.9,102,103,210
2014-07-02,102,102,101.6,102,11798
2014-07-03,104,106.5,103,104,3094
2014-07-04,105,106,105,105,12330
2014-07-07,110.2,113.5,105,110.2,43075
2014-07-08,117.9,119.8,110.2,117.9,21519
2014-07-09,116.1,118,115,116.1,3313
2014-07-10,111,115,111,111,1271
2014-07-11,110,114.5,107,110,344
2014-07-14,107.4,111.5,107,107.4,1550
2014-07-15,112,112,112,112,51
2014-07-16,111.9,112,111.9,111.9,1611
2014-07-17,115,115,113.9,115,3755
2014-07-18,112.9,114,110.1,112.9,107
2014-07-21,115.8,118.5,113.9,115.8,16551
2014-07-22,115.1,117.9,115.1,115.1,17706
2014-07-23,116.6,117.5,115.1,116.6,2477
2014-07-24,117.5,117.5,117.5,117.5,1
2014-07-25,117,117,117,117,1
2014-07-28,118.7,120,117.5,118.7,11179
2014-07-30,118,119,118,118,2050
2014-07-31,116.3,116.6,116,116.3,1100
2014-08-01,116.5,119.8,115.1,116.5,256
2014-08-04,115.2,117,115.2,115.2,670
2014-08-05,116,116,116,116,2
2014-08-06,117.9,118,116,117.9,13963
2014-08-07,123,124,119,123,28171
2014-08-08,123.8,124.8,121,123.8,10100
2014-08-11,124.5,124.8,123.9,124.5,2994
2014-08-12,125,128,124.8,125,4573
2014-08-13,129.2,134,124,129.2,47440
2014-08-14,131,134,128,131,10673
2014-08-15,117.5,127,115,117.5,19623
